region,age_group,impressions,clicks,conversions,product
North,18-24,120000,4800,384,AlphaApp
North,25-34,95000,5225,731,AlphaApp
North,35-44,80000,3200,224,AlphaApp
North,45-54,55000,1650,83,AlphaApp
South,18-24,140000,5600,336,AlphaApp
South,25-34,110000,6050,907,AlphaApp
South,35-44,90000,3600,252,AlphaApp
South,45-54,60000,1800,90,AlphaApp
East,18-24,85000,3400,204,AlphaApp
East,25-34,72000,3960,554,AlphaApp
East,35-44,65000,2600,156,AlphaApp
East,45-54,40000,1200,60,AlphaApp
West,18-24,105000,4200,294,AlphaApp
West,25-34,88000,4840,678,AlphaApp
West,35-44,75000,3000,195,AlphaApp
West,45-54,50000,1500,75,AlphaApp
North,18-24,60000,1800,90,BetaSuite
North,25-34,75000,3000,300,BetaSuite
North,35-44,90000,5400,810,BetaSuite
North,45-54,80000,4000,560,BetaSuite
South,18-24,50000,1500,75,BetaSuite
South,25-34,65000,2600,234,BetaSuite
South,35-44,85000,5100,765,BetaSuite
South,45-54,70000,3500,490,BetaSuite
East,18-24,40000,1200,60,BetaSuite
East,25-34,55000,2200,198,BetaSuite
East,35-44,70000,4200,630,BetaSuite
East,45-54,65000,3250,455,BetaSuite
West,18-24,45000,1350,68,BetaSuite
West,25-34,60000,2400,216,BetaSuite
West,35-44,80000,4800,720,BetaSuite
West,45-54,72000,3600,504,BetaSuite
