month,product,revenue
2023-01,AlphaApp,42000
2023-02,AlphaApp,44500
2023-03,AlphaApp,47200
2023-04,AlphaApp,49800
2023-05,AlphaApp,52100
2023-06,AlphaApp,55000
2023-07,AlphaApp,89500
2023-08,AlphaApp,58200
2023-09,AlphaApp,61500
2023-10,AlphaApp,64800
2023-11,AlphaApp,68100
2023-12,AlphaApp,72000
2024-01,AlphaApp,75500
2024-02,AlphaApp,78900
2024-03,AlphaApp,82400
2024-04,AlphaApp,86000
2024-05,AlphaApp,89700
2024-06,AlphaApp,93500
2024-07,AlphaApp,97400
2024-08,AlphaApp,101300
2024-09,AlphaApp,105500
2024-10,AlphaApp,109800
2024-11,AlphaApp,114200
2024-12,AlphaApp,118700
2023-01,BetaSuite,18000
2023-02,BetaSuite,18900
2023-03,BetaSuite,19800
2023-04,BetaSuite,20700
2023-05,BetaSuite,21600
2023-06,BetaSuite,22500
2023-07,BetaSuite,23400
2023-08,BetaSuite,24300
2023-09,BetaSuite,25200
2023-10,BetaSuite,26100
2023-11,BetaSuite,27000
2023-12,BetaSuite,9500
2024-01,BetaSuite,29700
2024-02,BetaSuite,31100
2024-03,BetaSuite,32600
2024-04,BetaSuite,34200
2024-05,BetaSuite,35900
2024-06,BetaSuite,37700
2024-07,BetaSuite,39600
2024-08,BetaSuite,41600
2024-09,BetaSuite,43700
2024-10,BetaSuite,45900
2024-11,BetaSuite,48200
2024-12,BetaSuite,50600
